,Field,text,emotions,score
0,priorities and concerns,To be able to provide our service at peak times on Long extended weekends.,neutral,0.5999202728271484
1,priorities and concerns,RE establishing our regular service - with both volunteers and clients. Both groups have replaced their regular routines. Obtaining money from Charitable Trusts who may be overwhelmed with requests.,neutral,0.7781014442443848
2,priorities and concerns,Making sure all members of our community effected by the full out of COVID 19 are cared for.,caring,0.9666398763656616
3,priorities and concerns,Funding! Where all the homeless people will go once the hotels etc want their old customers back...,neutral,0.8960148096084595
4,priorities and concerns,Politicking,neutral,0.99339759349823
5,priorities and concerns,Flexibility and responsiveness are keys to survival.,neutral,0.9906850457191467
6,priorities and concerns,Revenue,neutral,0.99519944190979
7,priorities and concerns,"Key Priorities at this time are around continuing to support People we support with Pre COVID - post COVID emergency support ie financial, drought, heating , warmth , food banks , transport issues",neutral,0.9824982285499573
8,priorities and concerns,would normally already have an international conference in advanced planning stage for November,neutral,0.9794057011604309
9,priorities and concerns,Getting the funds needed,neutral,0.8837351202964783
10,priorities and concerns,"Making preparations for opening up again at level one ( hopefully ), to the public and finding funding for running costs",optimism,0.9881594181060791
11,priorities and concerns,Sustainable funding,neutral,0.981600284576416
12,priorities and concerns,Resuming field activities with children,approval,0.5128942728042603
13,priorities and concerns,Getting our service started again when it is safe to do so.Having enough funding to continue our service. Meeting health and safety requirements which is especially difficult in the shared space we rent.,approval,0.5272634625434875
14,priorities and concerns,Uncertainty around Budget implications for health and disability sector funding increases. Lots of focus on additional money but no specifics yet.,neutral,0.579251766204834
15,priorities and concerns,Mental well-being of members. All outside my initial bubble and lack of response to my offer of support during lockdown. Minor in the scheme of things but cost of landline to mobile phone number is expensive and to be avoided by some of my elderly members.,sadness,0.9378331303596497
16,priorities and concerns,"Concern: we are funded with multi year contracts for operational costs, but not wages. All wage grants have stopped and its very concerning. We've had to let 1 staff member go. Priority:our clients have higher anxiety, needing higher support and we were already underfunded in this area. Our priority is finding other ways to be funded. It takes hours each week to find money to continue our services. Taking our services online (finding resources), but maintaining face to face support.",caring,0.5160910487174988
17,priorities and concerns,Availability of PPE has been and continues to be a major issue. Support for elderly people in the community has been challenging. Queuing and cashless transactions have proved very challenging for older people.,disappointment,0.4808548390865326
