,Field,Text,sentiment,sentiment_group,subjectivity,subjectivity_group
0,Can you please tell us your organisations current key priorities and or concerns,To source funding for a research project to explore how we can work better with Māori and Pacifica communities.,0.5,Positive,0.5,More Subjective
1,Can you please tell us your organisations current key priorities and or concerns,Growing new business; replacing operational hardware,0.13636363636363635,Neutral,0.45454545454545453,More Objective
2,Can you please tell us your organisations current key priorities and or concerns,Maintaining cashflow through external funding grants. Attracting replacement ECE teachers. Attracting more students.,0.25,Neutral,0.3,More Objective
3,Can you please tell us your organisations current key priorities and or concerns,"Sufficient funding to create a website and for a part-time coordinator as most of us are volunteering. Adequate support in running online events, ",0.41666666666666663,Positive,0.41666666666666663,More Objective
4,Can you please tell us your organisations current key priorities and or concerns,Making sure that people are not isolated and can get out and about and enjoy life also getting the help that is required for stroke survivors and their carers.,0.45,Positive,0.6944444444444444,More Subjective
5,Can you please tell us your organisations current key priorities and or concerns,Our priorities are making we have enough food for our foodbank,0.0,Neutral,0.5,More Subjective
6,Can you please tell us your organisations current key priorities and or concerns,"Key priorities are funding (as always), changes in the health sector, increasing demand for services",0.0,Neutral,1.0,More Subjective
7,Can you please tell us your organisations current key priorities and or concerns,Lockdowns ,0.0,Neutral,0.0,More Objective
8,Can you please tell us your organisations current key priorities and or concerns,Maintaining a level of income to continue. We do not have enough funding to pay the manager position and struggle with maintaining volunteers who have the time and commitment.,0.0,Neutral,0.5,More Subjective
9,Can you please tell us your organisations current key priorities and or concerns,Funding,0.0,Neutral,0.0,More Objective
10,Can you please tell us your organisations current key priorities and or concerns,Delivery of planned service activities to disabled people in developing nations including the Pacific Islands.,-0.2,Neutral,0.3,More Objective
11,Can you please tell us your organisations current key priorities and or concerns,Making sure the whanau are well supported and also that any social support needs in the Wellington Region are addressed,0.26666666666666666,Neutral,0.47777777777777775,More Objective
12,Can you please tell us your organisations current key priorities and or concerns,Welfare of Wahine ,0.0,Neutral,0.0,More Objective
13,Can you please tell us your organisations current key priorities and or concerns,Securing more sustainable funding and a further staff member,0.25,Neutral,0.5,More Subjective
14,Can you please tell us your organisations current key priorities and or concerns,"Our priorities are to continue to provide support to victims of crime and trauma. On top of this we are looking at the future for our organisation e.g., what will we look like in 10 years’ time and how will we get there including developing a larger funding base.",-0.07500000000000001,Neutral,0.53125,More Subjective
15,Can you please tell us your organisations current key priorities and or concerns,People,0.0,Neutral,0.0,More Objective
16,Can you please tell us your organisations current key priorities and or concerns,Keeping our community safe,0.5,Positive,0.5,More Subjective
17,Can you please tell us your organisations current key priorities and or concerns,"Support and empower new migrants and refugees Bring cultural awareness and sensitivity Celebrate, support and connect the Multicultural communities ",0.11818181818181818,Neutral,0.2772727272727273,More Objective
18,Can you please tell us your organisations current key priorities and or concerns,Being easily accessible to new parents with mental health issues,0.13712121212121212,Neutral,0.3431818181818182,More Objective
19,Can you please tell us your organisations current key priorities and or concerns,Funding to keep us viable,0.0,Neutral,0.0,More Objective
20,Can you please tell us your organisations current key priorities and or concerns,"The concern of time diversion to attend imposed courses such as anti ""White"" ideology.",0.0,Neutral,0.25,More Objective
21,Can you please tell us your organisations current key priorities and or concerns,Funding to finish projects,0.0,Neutral,0.0,More Objective
22,Can you please tell us your organisations current key priorities and or concerns,Renovating our HQ and finding funding to do so.,0.0,Neutral,0.0,More Objective
23,Can you please tell us your organisations current key priorities and or concerns,"Volunteer recruitment, funding",0.0,Neutral,0.0,More Objective
24,Can you please tell us your organisations current key priorities and or concerns,Aware of the stress and anxiety levels of rangatahi. Finding stable funding. Exploring mix of entrepreneurship and funding. Getting more people onto our delivery and governance team,0.375,Neutral,0.375,More Objective
25,Can you please tell us your organisations current key priorities and or concerns,Our vulnerable staff and community due to the high cost of living.,-0.155,Neutral,0.4716666666666667,More Objective
26,Can you please tell us your organisations current key priorities and or concerns,Rising cost of living for all New Zealanders - The housing market and its social impact - Inequity in the electricity market - Behaviour of the supermarket duopoly - Mislabelled sunscreens,0.08484848484848484,Neutral,0.2606060606060606,More Objective
27,Can you please tell us your organisations current key priorities and or concerns,Continuing to advocate and ensure equal rights and opportunities for all women and girls across the spectrum,0.0,Neutral,0.25,More Objective
28,Can you please tell us your organisations current key priorities and or concerns,Resourcing vulnerable groups and individuals in our community to have means to communicate with others and access to essential supplies using digital technology,-0.16666666666666666,Neutral,0.26666666666666666,More Objective
29,Can you please tell us your organisations current key priorities and or concerns,Funding to do urgent and necessary repairs and maintenance to our venue/,0.0,Neutral,1.0,More Subjective
30,Can you please tell us your organisations current key priorities and or concerns,Developing understanding and confidence with business/ contract delivery models to be able to better respond to invitations for community-led service delivery,0.5,Positive,0.5625,More Subjective
31,Can you please tell us your organisations current key priorities and or concerns,Paying our program facilitators in house,0.0,Neutral,0.0,More Objective
32,Can you please tell us your organisations current key priorities and or concerns,To stay viable,0.0,Neutral,0.0,More Objective
33,Can you please tell us your organisations current key priorities and or concerns,"Enriching lives to create a unified community that enhances individuals with their wellness, education and wellbeing",0.0,Neutral,0.0,More Objective
